Name,Peak CCU,Price,Reviews,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Categories,Genres,Tags
Moonchild,0,6.99,"â€œWhether you're a retro enthusiast or just someone in the market for a good RPG, there's a good chance Moonchild will satisfy the itchâ€ 80 â€“ Gamezebo â€œMoonchild is a substantial and intricately-developed indie roleplaying game on par with releases from more conventional studioâ€ 80 â€“ Jay Is Games â€œDas RPG-Geruest und die Story sind solide, Grafik und Musik sehr gelungenâ€ 80 â€“ Splash Games",0,0,0,0,23,0,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing","Adventure,Casual,Indie,RPG",
Castle Morihisa,0,14.99,,0,0,0,0,33,316,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Indie,Strategy",
Ancient Relics - Egypt,0,4.99,,0,0,0,0,51,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Adventure,Casual,Indie",
Royal Jigsaw 2,0,1.99,,0,0,0,0,0,0,"Single-player,Family Sharing",Casual,
Mighty Party,0,0,â€œNice one!â€ Aron Mor â€œMighty Party - RESCUE THE PRINCESS?â€ Gaming Authoritah â€œThis game might be the type of game youâ€™d enjoy if you want a fresh spin on card games.â€ Peter Saddington,0,0,0,0,29,0,"Single-player,Multi-player,MMO,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,In-App Purchases","Action,Adventure,Massively Multiplayer,RPG,Strategy,Free To Play",
Kawaii Hentai Girls 3,0,0.99,,0,0,0,0,45,0,"Single-player,Steam Achievements,Family Sharing","Casual,Indie",
Cross Set,0,0.99,,0,0,0,0,17,125,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing","Casual,Indie",
Until I Have You,0,13.99,,69,0,0,0,31,141,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Stats,Family Sharing",Indie,
Rogue Along Way,0,9.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Adventure,Indie,RPG,Early Access",
Welcome to Pussy Paradise,0,9.99,,0,0,0,0,7,0,"Single-player,Steam Achievements,Full controller support,Family Sharing",Casual,
Axecutioners,0,0,,0,0,0,0,0,0,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Full controller support,Remote Play Together","Action,Casual,Free To Play,Indie",
Inner silence,0,0.99,,0,0,0,0,5,102,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing","Action,Adventure,Casual,Indie",
Dabado Puzzles,0,9.99,,0,0,0,0,21,0,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Adventure,Indie",
44 The Jail,0,5.99,,0,0,0,0,14,0,"Single-player,Steam Achievements,Family Sharing",Adventure,
Legendary Realms: A Fantasy World Odyssey,0,1.99,,0,0,0,0,0,0,"Multi-player,PvP,LAN PvP,Co-op,LAN Co-op,Family Sharing","Action,Adventure,Indie,RPG,Early Access",
I WILL BE THERE,0,5.99,,0,0,0,0,18,0,"Single-player,Family Sharing",Adventure,
Spark Five,0,9.99,,0,0,0,0,24,0,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing","Action,Adventure,Indie,Strategy",
Lab Chaos Playtest,0,0,,0,0,0,0,0,0,,,
Dr. Spacezoo,0,14.99,,0,0,0,0,12,0,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play Together,Family Sharing","Action,Indie,Early Access",
Easy VTT,0,4.99,,0,0,0,0,0,0,"Single-player,Multi-player,Co-op,Online Co-op,Family Sharing","Casual,Indie,Simulation",
Happy's Humble Burger Barn,0,0,,0,0,0,0,0,0,Single-player,"Action,Adventure,Indie,Simulation,Free To Play",
